All,全部
Allow HTML Tags on Frontend,允许在前端使用HTML标签
Visible on Catalog Pages on Frontend,目录页面前端可见
Used in Product Listing,用于产品清单
Depends on design theme,取决于设计网站模板
Used for Sorting in Product Listing,在产品列表中使用排序
Media Image,媒体图片
Gallery,画廊
System Properties,系统属性
Data Type for Saving in Database,要保存在数据库中的数据类型
Text,文字
Varchar,可变长字符串
Static,静态
Datetime,日期时间
Decimal,十进制
Integer,整数
Globally Editable,全球范围内可编辑
Attribute Information,属性信息
Properties,属性
Manage Labels,管理标签
Visible,可见
Searchable,可搜索
Comparable,可比较
Delete Selected Group,删除所选组
Delete Attribute Set,删除属性集
You are about to delete all products in this set. ' 'Are you sure you want to delete this attribute set?,您将删除该集合中的所有产品，是否确实要删除此属性集
Save Attribute Set,保存属性集
New Set Name,新集名称
Edit Attribute Set '%1',编辑属性集 '%1'
Empty,空
Add Attribute,添加属性
Add New Group,添加新群组
Add Group,添加群组
Edit Set Name,编辑集名称
For internal use,内部使用
Based On,基于
Add New Attribute Set,添加新属性集
Add New Set,添加新集
Product Templates,产品类型
Product Template,产品类型
Close Window,关闭窗口
New Product,新产品
Save & Edit,保存和编辑
Save & New,保存和新建
Save & Duplicate,保存和复制
Save & Close,保存和关闭
Attributes,属性
Change,更改
Advanced Inventory,高级库存
Websites,网站
Products Information,产品信息
Category Name,类别名称
Parent Category,上次分类
"If there are no custom parent categories, please use the default parent category. ' 'You can reassign the category at any time in ' '<a href=""%1"" target=""_blank"">Products > Categories</a>.","如果没有自定义上次类目，请使用默认的上级类目. 您可以任何时候重新分配类别<a href=""%1"" target=""_blank"">产品 > 类别</a>."
We saved the price alert subscription.,我们已保存您的价格订阅提醒
We saved the stock notification.,我们保存了库存通知
There are no customers for this alert.,没有客户适用于此提醒。
Subscribe Date,订阅日期
Last Notified,最新通知
Send Count,发送数量
New Attribute,新属性
Attribute Set,属性集
Add New Option,添加新选项
Import Options,导入选项
Import,导入
Add New Row,添加新行
Delete Row,删除行
Tier Pricing,层级价格
Default Price,默认价格
Add Group Price,添加组价格
ALL GROUPS,所有群组
Add Tier,添加层
Default Values,默认值
Related Products,相关产品
Up-sells,超售
Cross-sells,交叉销售
Size for %1, %1 的尺寸
Watermark File for %1, %1 的水印文件
Position of Watermark for %1, %1 的水印位置
Name in %1,姓名 %1
Notify Low Stock RSS,存货不足RSS通知
Change status,更改状态
Update Attributes,更新属性
Click here or drag and drop to add images,点击这里或拖放添加图像
Delete image,删除图片
Make Base,制造基地
Hidden,隐藏
Image Management,图片管理
start typing to search category,开始搜索类别
New Category,新类别
Add New Images,添加新图像
Inc. Tax,含税
lbs,磅
Add New Search Term,添加新的搜索条件
Save Search,保存搜索
Delete Search,删除搜索
Edit Search '%1',编辑搜索 '%1'
New Search,新搜索
Search Information,搜索信息
Search Query,搜索查询
Number of results,结果的数量
Number of results (For the last time placed),结果的数量（上次的置入）
For the last time placed.,上次的置入
Number of Uses,使用次数
Synonym For,同义词
Will make search for the query above return results for this search,用搜索查询返回的结果进行搜索
Redirect URL,重定向URL
ex. http://domain.com,例如 http://domain.com
Display in Suggested Terms,显示建议的搜索条件
Go to Home Page,前往主页
%1 RSS Feed,%1 RSS 反馈
Products Comparison List,产品比较列表
AM,早上
PM,下午
Categories,分类
Manage Catalog Categories,管理分类类别
Manage Categories,管理分类
"Attribute ""%1"" is required.","属性""%1""是必须的"
Unable to save the category,无法保存此类别
You saved the category.,您已保存此类别
There was a category move error.,有一个类别错误
There was a category move error %1,有一个类别错误 %1
You deleted the category.,您已删除此类别
Something went wrong while trying to delete the category.,试图删除该类别时出错
This product no longer exists.,该产品已不存在。
Unable to save product,无法保存产品
You saved the product.,您已保存产品
SKU for product %1 has been changed to %2.,产品 %1的SKU 已经 %2 使用
You duplicated the product.,你已复制该产品
Please select product(s).,请选择产品。
A total of %1 record(s) have been deleted.,已经删除 %1的记录
A total of %1 record(s) have been updated.,已经更新 %1的记录
Something went wrong while updating the product(s) status.,更新产品状态时出了一些错误
Please make sure to define SKU values for all processed products.,请务必确定所有加工产品的SKU值。
A total of %1 record(s) were updated.,更新记录 %1
Something went wrong while updating the product(s) attributes.,更新产品属性是出了一些错误
Please select products for attributes update.,请选择属性更新的产品
Manage Product Attributes,管理产品属性
This attribute no longer exists.,该属性不存在
This attribute cannot be edited.,该属性无法编辑。
Edit Product Attribute,编辑产品属性
An attribute with this code already exists.,这个属性代码已存在
Attribute with the same code (%1) already exists.,有相同代码 (%1)的属性已经存在
Attribute Set with name '%1' already exists.,"属性集名称 ""% 1""已存在"
Something went wrong saving the attribute.,保存属性时出了一些错误
"Attribute code ""%1"" is invalid. Please use only letters (a-z), ' 'numbers (0-9) or underscore(_) in this field, first character should be a letter.","属性代码 ""%1""无效. 请只使用字母 (a-z), ' '数字 (0-9) 或下划线(_) 在此处, 第一个字符必须为字母."
You can't update your attribute.,您不能更新属性
You saved the product attribute.,您已保存产品属性
This attribute cannot be deleted.,该属性无法被删除。
The product attribute has been deleted.,产品属性已被删除。
We can't find an attribute to delete.,我们找不到要删除的属性。
A group with the same name already exists.,以同样名称命名的群组已存在。
Something went wrong while saving this group.,保存改群组时出了一些错
Manage Attribute Sets,管理属性集
New Set,新设置
Manage Product Sets,管理产品设置
This attribute set no longer exists.,该属性已不存在。
You saved the attribute set.,您已保存属性值
An error occurred while saving the attribute set.,保存属性集时发生错误。
New Product Template,新产品类型
Add Product Template,添加产品类型
The attribute set has been removed.,属性集已移除
An error occurred while deleting this set.,删除这个集合时出了一些错误
Search Terms,搜索词
This search no longer exists.,该搜索已不存在。
Edit Search,编辑搜索
You already have an identical search term query.,你已经有一个相同的搜索词查询
Something went wrong while saving the search query.,保存搜索查询时出错
You deleted the search.,你删除了搜索。
We can't find a search term to delete.,我们找不到要产出的搜索词
Please select catalog searches.,请选择目录检索
Total of %1 record(s) were deleted,已经删除总共 %1的记录
You added product %1 to the comparison list.,您已添加产品 %1 到比较列表
You removed product %1 from the comparison list.,您已将产品 %1 从比较列表中移除
You cleared the comparison list.,您已清空比较列表
Something went wrong  clearing the comparison list.,清空比较列表出错
"To see product price, add this item to your cart. You can always remove it later.",要查看产品价格，请添加该项目到您的购物车。您总是可以稍后删除它。
See price before order confirmation.,确认订单前显示价格。
The product is not loaded.,该产品未加载
Invalid attribute %1,无效属性 %1
"Field ""%1"" was not found in DO ""%2"".","字段 ""%1"" 未在文档 ""%2""中找到"
Grid,网格
List,列表
Product is not loaded,产品尚未加载
Bad controller interface for showing product,显示产品的控制器接口不正确
"Sorry, but we can't move the category because we can't find the new parent category you selected.",抱歉，我们不能移动这一类目，因为我们无法找到您所选的新的上级类目。
"Sorry, but we can't move the category because we can't find the new category you selected.",抱歉，我们不能移动这一类，因为我们无法找到您所选的新类目
We can't perform this category move operation because the parent category matches the child category.,我们不能执行这个类目的移动操作，因为上级类目和子类目匹配
"The value of attribute ""%1"" must be unique.","属性""%1""的值必须是唯一的"
Default Product Listing Sort by does not exist in Available Product Listing Sort By.,默认产品列表排序不存在于可用产品列表排序
No layout updates,无布局更新
Products only,仅产品
Static block only,仅静态区块
Static block and products,静态区块和产品
Please select a static block.,请选个一个静态区块
frontend_label,前端_标签
-- Please Select a Category --,  --请选择一个类目--
Grid Only,仅网格
List Only,仅列表
Grid (default) / List,网格（默认）/列表
List (default) / Grid,列表（默认）/网格
Automatic (equalize price ranges),自动（均衡价格范围）
Automatic (equalize product counts),自动（均衡产品数）
Manual,手动
-- Please select --,"""-- 请选择 --""                 "
Product Thumbnail Itself,产品缩略图
Parent Product Thumbnail,上级产品缩略图
12h AM/PM,12h 早上/下午
24h,24h
Stretch,拉伸
Tile,平铺
Top/Left,顶部/左侧
Top/Right,顶部/右侧
Bottom/Left,底部/左侧
Bottom/Right,底部/右侧
Center,中心
Could not rebuild index for undefined product,无法重建未定义产品的索引
Bad value was supplied.,提供的值不正确
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes."" ""Currently there are %1\$d of them."" ""Please reduce the number of filterable/sortable attributes in order to use this module",平面目录模块受限于 %2\$d 可筛选或可索引的属性. 当前有 %1\$d. 请减少筛选项目数量，或者索引属性以便于使用本模块。
"Unsupported product type ""%1"".","不支持的产品类型 ""% 1"""
Index product and categories URL Rewrites,索引产品和分类链接重写
The category must be an instance of \Magento\Catalog\Model\Category.,该类目必须是 Magento\分类\模板\类目下的一个实例
Please correct the category.,请更正类目
The attribute model is not defined.,未定义属性模板
Category,类别
%1 - %2,%1 - %2
The filter must be an object. Please set correct filter.,过滤器必须作为对象。请正确设置过滤器
%1 and above,%1及以上
Clear Price,清除价格
The filters must be an array.,过滤器必须为数组。
We found a duplicate website group price customer group.,我们发现一个复制网站团购价格客户组
Group price must be a number greater than 0.,团购价格必须是大于0的数字
The image does not exist.,图片不存在
Please correct the image file type.,请正确的图片文件类型
We couldn't move this file: %1.,我们不能移动这个文件：% 1。
We couldn't copy file %1. Please delete media with non-existing images and try again.,我们不能复制文件 %1. 请删除不存在的图片媒体并重试。
Please enter a number 0 or greater in this field.,请在该字段中输入0或者大于0的数字
"The value of attribute ""%1"" must be set",属性“% 1”的值必须设置
SKU length should be %1 characters maximum.,SKU 长度应为最大 %1个字符
The From Date value should be less than or equal to the To Date value.,起始日期值需要小于或者等于终止日期值
"We found a duplicate website, tier price, 客户组和数量.",我们发现一个复制网站，分层价格，
Use config,用户配置
In Cart,购物车
Before Order Confirmation,在订单确认之前
On Gesture,手势
We can't find the image file.,我们找不到图像文件
Index product attributes for layered navigation building,为分层导航建筑索引产品属性
The option type to get group instance is incorrect.,选项类型获取组实例错误
Select type options required values rows.,选择需要值的选项类型。
Please specify date required option(s).,请指定日期需要的选项。
Please specify time required option(s).,请指定时间需要的选项。
Please specify the product's required option(s).,请指定产品的必要选项。
The option instance type in options group is incorrect.,选项组中的选项实例类型不正确
The product instance type in options group is incorrect.,在选项组中的产品实例类型不正确。
The configuration item option instance in options group is incorrect.,选项组中的配置项选项实例不正确。
The configuration item instance in options group is incorrect.,选项组中的配置项实例不正确。
The BuyRequest instance in options group is incorrect.,选项组中的购买请求实例不正确。
We couldn't add the product to the cart because of an option validation issue.,因为选项验证问题，我们不能将产品添加到购物车中。
The file you uploaded is larger than %1 Megabytes allowed by server,您上传的文本大于服务器允许的 %1 MB
The file '%1' for '%2' has an invalid extension.,%2 的文本 %1存在无效的扩展名
Maximum allowed image size for '%1' is %2x%3 px.,%1 允许最大图片大小是 %2 * %3 像素
The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.,您上传的文本 %1 大于服务器允许的 %2 MB
px.,像素
The file options format is not valid.,文件选项格式无效。
Some of the selected item options are not currently available.,一些选定的项目选项目前不可用
The text is too long.,文本太长
"We can't create writeable directory ""%1"".",我们无法创造可写的目录“% 1”
The file upload failed.,文件上传失败。
The product has required options.,该产品具有要求的选项
Something went wrong while processing the request.,处理请求时出错。
Not Visible Individually,无独立可见性
"Catalog, Search",分类，搜索
Something went wrong removing products from the websites.,从网站删除产品出了一些错误
Something went wrong adding products to websites.,添加产品到网站时出了一些错误
Attribute '%1' is locked. ,属性“% 1”锁定
Do not change the scope. ,不要改变范围。
"We found an unknown EAV indexer type ""%1"".","我们发现一个未知 EAV 索引类型""%1""."
A product type is not defined for the indexer.,索引器中产品类型未定义。
Something went wrong saving the URL rewite.,保存URL重写时出错
Multiple Select,多选
Dropdown,下拉
"Please specify either a category or a product, or both.",请指定一个类别或一个产品，或两者
A category object is required for determining the product request path.,类对象需要对产品的要求确定的路径
As low as:,低至：
Are you sure you want to delete this category?,你确定要删除此类别？
ID: %1,ID: %1
"Set root category for this store in the <a href=""%1"">configuration</a>.","在<a href=""%1"">设置</a>中给该商店设置根分类"
Collapse All,折叠全部
Expand All,全部展开
Please confirm site switching. All data that hasn't been saved will be lost.,请确认网站切换。尚未保存的所有数据将丢失
"Manage Titles (Size, Color, etc.)",管理名称（尺寸，颜色等）
Manage Options (values of your attribute),管理选项（属性值）
Is Default,为默认值
Add Option,添加选项
Sort Option,排序选项
Groups,群组
Double click on a group to rename it,双击组即可更名
Unassigned Attributes,未分配的属性
A name is required.,要求名称
This group contains system attributes. Please move system attributes to another group and try again.,该群组包含系统属性。请移动系统属性到另一群组并重试。
Please enter a new group name.,请添加新群组名称
"An attribute group named ""/name/"" already exists"".","名为 ""/name/"" 的属性群已存在"
We're unable to complete this request.,我们无法完成这项要求。
You cannot remove system attributes from this set.,无法从该集合中删除系统属性。
Custom Options,自定义选项
This is a required option.,此为必选项
Field is not complete,字段不完整
Allowed file extensions to upload,允许上传的文件扩展
Maximum image width,图片最大宽度
Maximum image height,图片最大高度
Maximum number of characters:,最大字符数：
Product online,在线产品
Product offline,离线产品
Product online status,在线产品状态
Manage Stock,库存管理
Minimum Qty for Item's Status to be Out of Stock,产品最低数量的状态是缺货
Minimum Qty Allowed in Shopping Cart,在购物车允许的最小数量
Maximum Qty Allowed in Shopping Cart,在购物车允许的最大数量
Qty Uses Decimals,数量用十进制
Backorders,缺货
Notify for Quantity Below,存量过低通知
Enable Qty Increments,使用数量增加
Qty Increments,数量增加
Stock Availability,库存状况
In Stock,有货
Out of Stock,无货
Add Product To Websites,添加产品到网站
Remove Product From Websites,从网站删除产品
Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.,您不希望显示在分类或搜索结果中的内容应在目标店铺中设置'Disabled'状态。
Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.,动态定价绑定不能包含自定义选项，选项不能保存
Delete Custom Option,删除自定义选项
Sort Custom Options,排列自定义选项
Allowed File Extensions,允许的文件扩展
Maximum Image Size,最大图像大小
%1 <span>x</span> %2 <span>px.</span>,%1 <span>x</span> %2 <span>px.</span>
Please leave blank if it is not an image.,如果不是图片， 请留白
Sort Custom Option,排序自定义选项
Max Characters,字符数上限
Customer Group,客户组
Delete Group Price,删除组价格
Item Price,产品价格
and above,及以上
Delete Tier,删除层
Product In Websites,网站中的产品
Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.,您不希望在分类或搜索结果中显示的内容应在目标店铺中设置'Disabled'状态。
(Copy data from: %1),(从: %1 复制产品)
Remove Image,删除图像
Alt Text,代替文本
Role,职能
Hide from Product Page,从产品页隐藏
Close panel,关闭面板
Regular Price:,常规价格：
Special Price:,特殊价格：
Product Alerts,产品警报
Can be Divided into Multiple Boxes for Shipping,可拆分为多个箱发货
Basic Settings,基本设置
Advanced Settings,高级设置
Select Product Actions,选择产品动作
Price as configured:,价格配置：
Click for price,单击获取价格
What's this?,这是什么？
Buy %1 for: ,以   买%1
Buy %1 for %2,以 %2 买 %1
each,每个
and,和
save,保存
Actual Price,实际价格
Shop By,购物
Shopping Options,购物选项
Compare Products,比较产品
1 item,一个产品
%1 items,产品 %1 
Print This Page,打印本页面
Remove Product,删除产品
Add to Wishlist,添加到收藏
You have no items to compare.,您没有可比较的项目。
Are you sure you would like to remove this item from the compare products?,你确定要从对比产品中删除这个项目？
Are you sure you would like to remove all products from your comparison?,你确定要是删除所有对比的产品？
Remove This Item,删除该内容
Compare,比较
Clear All,清除全部
Prev,上一个
There are no products matching the selection.,没有产品匹配该选择。
Add to Compare,添加并比较
Learn More,了解更多
You may also be interested in the following product(s),您还可能对下列产品感兴趣
More Choices:,更多选择
New Products,新产品
Check items to add to the cart or,检查要加入购物车的内容
select all,全选
View as,查看为
Sort By,分类依据
Set Ascending Direction,设置降序顺序
Set Descending Direction,设置升序顺序
Items %1-%2 of %3,产品 %1-%2 共 %3
%1 Item,产品 %1 
%1 Item(s),产品 %1 
Show,显示
Additional Information,额外信息
More Views,更多视图
Click on image to view it full sized,点击图片查看它的全尺寸
Click on image to zoom,点击图片放大
Email to a Friend,给朋友发邮件
Details,详情
Template,模板
File extension not known or unsupported type.,不知道或不支持的文件扩展名
Configure Product,配置产品
Select type of option.,选择类型的选择。
Please add rows to option.,请添加选项行。
Select Product,选择产品
Choose existing category.,选择现有类别。
Create Category,穿件类别
unselect all,撤销全选
Maximal Depth,最大深度
Anchor Custom Text,自定义文本锚点
Anchor Custom Title,自定义标题锚点
Product Fields Auto-Generation,产品名称自动应用优化
Mask for SKU,SKU的掩码
Use {{name}} as Product Name placeholder,使用 {{name}} 作为产品名称占位符r
Mask for Meta Title,元标题掩码
Mask for Meta Keywords,元关键词掩码
Use {{name}} as Product Name or {{sku}} as Product SKU placeholders,使用 {{name}} 作为产品名称货 {{sku}} 作为产品SKU占位符
Mask for Meta Description,元描述掩码
Use {{name}} and {{description}} as Product Name and Product Description placeholders,使用 {{name}} 和{{description}} 作为产品名称和产品描述占位符
Frontend,前端
List Mode,列表模式
Products per Page on Grid Allowed Values,多栏模式下每页产品显示数量允许值
Comma-separated.,逗号分隔
Products per Page on Grid Default Value,页多栏产品数量的缺省值
Must be in the allowed values list,必须在允许的值列表中
Products per Page on List Allowed Values,单栏列表模式下每页产品显示数允许值
Products per Page on List Default Value,每页列表产品数量的缺省值”
Use Flat Catalog Category,使用平面目录分类
Use Flat Catalog Product,使用平面产品上当
Product Listing Sort by,产品列表排序按
Allow All Products per Page,分类允许显示所有产品
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown",是否显示全部中的显示每页X的下拉选项
Allow Dynamic Media URLs in Products and Categories,允许在产品与分类中使用动态媒体网址
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","比如 {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. 动态指令分析影响目录性能"
Product Image Placeholders,产品图像占位符
Search Engine Optimization,搜索引擎优化
Category URL Suffix,目录 URL 后缀
You need to refresh the cache.,你需要刷新缓存。
Product URL Suffix,产品 URL 后缀
Use Categories Path for Product URLs,使用分类路径作为产品 URLs
Create Permanent Redirect for URLs if URL Key Changed,如果网址变化，为旧网址创建永久重定向
Page Title Separator,页面标题分隔符
Use Canonical Link Meta Tag For Categories,为分类使用标准连接元标签
Use Canonical Link Meta Tag For Products,为产品使用标准连接元标签
Catalog Price Scope,目录价格范围
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","定义基准货币范围   (""货币设置"" > ""货币选项""> ""基准货币"")."
Category Top Navigation,类目顶部导航
Date & Time Custom Options,日期和时间自定义选项
Use JavaScript Calendar,使用JavaScript日历
Date Fields Order,日期字段排序
Time Format,时间格式
Year Range,年时间范围
Please use a four-digit year format.,请使用四位数字格式
Product Image Watermarks,产品图像水印
Watermark Default Size,水印默认大小
"Watermark Opacity, Percent",水印的不透明度，比例
Watermark,水印
Watermark Position,水印位置
Use Static URLs for Media Content in WYSIWYG for Catalog,在产品目录媒体内容的所见即所得编辑器使用静态URL
This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.,这个只适用于产品和目录分类. 所有媒体内容将当作静态链接插入编辑器， 将不会随系统设置的基准网址改变
Minimum Advertised Price,最低优惠价格
Enable MAP,激活地图
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the front end.","<strong style=""color:red"">警告!</strong> 默认的地图应用将前端所有价格的产品隐藏"
Display Actual Price,显示实际价格
Default Popup Text Message,默认弹出文本信息
"Default ""What's This"" Text Message","默认的 ""这是什么""文本信息"
Product Flat Data,产品平坦数据
Reorganize EAV product structure to flat structure,重新整理EAV产品结构为平坦结构
Category Flat Data,分类平坦数据
Reorganize EAV category structure to flat structure,重新识别EAV分类结构为平坦结构
Indexed category/products association,已索引的分类/产品关联
Product Categories,产品分类
Indexed product/categories association,索引分类/产品
Product Price,产品价格
Index product prices,索引产品价格
Catalog New Products List,分类新产品列表
List of Products that are set as New,名单被定为新产品
Display Type,显示类型
"All products - recently added products, New products - products marked as new","所有产品 - 最近新增产品, 新产品 - 产品标注为新"
All products,所有产品
New products,新产品
Display Page Control,显示页控制
Number of Products per Page,每页产品数
Number of Products to Display,显示的产品数量
New Products Grid Template,新产品网格模板
New Products List Template,新产品列表模板
New Products Images and Names Template,新产品图片和名称模板
New Products Names Only Template,仅新产品名称模板
New Products Images Only Template,仅新产品图片模板
Cache Lifetime (Seconds),缓存生存时间（秒）
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.",如果没有设置，默认为86400。为了实是更新，请清空HTML块缓存输出
Catalog Product Link,分类产品链接
Link to a Specified Product,链接到指定产品
"If empty, the Product Name will be used",如果为空，产品的名称将被使用
Product Link Block Template,产品链接区块模板
Product Link Inline Template,产品链接内联模板
Catalog Category Link,分类类别链接
Link to a Specified Category,链接到指定的分类
"If empty, the Category Name will be used",如果为空，则使用分类名称
Category Link Block Template,分类链接块模板
Category Link Inline Template,分类链接内联摸板
Set,设置名称
none,无
Overview,概况
Qty for Item's Status to Become Out of Stock,产品数量的状态变成缺货
Default View,默认视图
Color,颜色
Cost,成本
Country of Manufacture,生产国
Active From,有效开始时间
Active To,有效结束时间
Allow Gift Message,允许优惠劵
Group Price,团购价
Manufacturer,制造商
Meta Title,标题标签
Manufacturer's Suggested Retail Price,厂商建议零售价
Set Product as New from Date,设置产品为新自日期
Set Product as New to Date,设置产品为新至日期
Short Description,简要描述
Special Price From Date,特价自日期
Special Price To Date,特价至日期
Filters,过滤器
Columns,列
We couldn't find any records.,找不到任何记录
Name,名称
Is Active,是否激活
Description,描述
Image,图片
Page Title,页面标题
Meta Keywords,关键字
Meta Description,描述标记
Include in Navigation Menu,包括在导航菜单
Display Settings,显示设置
Actions,操作
Custom,自定义
Display Mode,显示模式
CMS Block,静态区块
Is Anchor,链接
Available Product Listing Sort By,可用的产品列表排序
Default Product Listing Sort By,默认产品列表排序
Layered Navigation Price Step,分层导航价格阶梯
Use Parent Category Settings,使用父分类设置
Apply To Products,适用于产品
Magento Blank,Magento Blank
Magento Luma,Magento Luma
Page Layout,页面布局
1 column,1列
2 columns with left bar,左栏2列
2 columns with right bar,右栏2列
3 columns,3列
Custom Layout Update,自定义布局
Main Website,总网站
Default Store View,默认店铺视图
Default Category,默认分类
Product Details,产品详情
Configurations,配置
Create Configurations,创建配置
Name,名称
Price,价格
Tax Class,税类
Quantity,数量
Weight,重量
Categories,分类
Description,描述
Meta Keywords,Meta关键词
Meta Description,Meta描述
Meta Title,Meta标题
URL Key,URL地址
Maximum 255 chars,最多255字数
Simple Product,简单产品
Virtual Product,虚拟产品
Bundle Product,捆绑产品
Downloadable Product,可下载产品
"To hide an item in catalog or search results, set the status to ""Disabled"".","如果需要把物品在产品列表或搜索结果中隐藏,请把状态改为禁用"
