Please enter a valid zip code. For example 90602 or 90602-1234.,请输入一个有效的邮编. 例如 90602 or 90602-1234.,
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.",请使用日期格式：dd/mm/yyyy，例如 17/03/2006 表示 2006年3月17日,
Please select one of the above options.,请在上面选择.,
Please select one of the options.,请选择,
Credit card number does not match credit card type.,信用卡数字与信用卡类型不符,
Card type does not match credit card number.,信用卡类型与信用数字不符.,
Incorrect credit card expiration date.,信用卡失效日期有误.,
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.",请使用字母(a-z or A-Z)，数字(0-9)或下划线(_)，第一个字符必须是字母,
Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.,请输入有效的CSS-长度. 例如 100px 或者 77pt 或者 20em 或者 .5ex or 50%,
Text length does not satisfy specified text range.,文本长度不符合规定的文本范围,
Please enter a number lower than 100.,请输入小于100的数字,
Please select a file,请选择一个文件,
Please enter issue number or start date for switch/solo card type.,请输入issue号码或switch/solo卡类型的开始时间,
This date is a required value.,日期是必填的,
Please enter a valid day (1-%1).,请输入一个正确的天数 (1-%1).,
Please enter a valid month (1-12).,请输入一个有效的月份(1-12).,
Please enter a valid year (1900-%1).,请输入正确的年份 (1900-%1).,
Please enter a valid full date,请输入一个有效的日期,
Done,完成,
File extension not known or unsupported type.,未知文件后缀货不支持的类型,
Configure Product,可设置产品,
Gift Options for ,礼品选项,
Add Products to New Option,将产品添加到新的选项,
"Add Products to Option ""%1""",添加产品到选项 %1,
Add Selected Products,添加选定的产品,
Select type of option.,选择选项类型.,
Please add rows to option.,请添加行选项.,
Select Product,选择产品,
Add Products to Group,添加产品到群组,
Choose existing category.,选择现有类别.,
Create Category,创建类别,
Something went wrong while loading the theme.,加载网站模板时出错,
We don't recognize or support this file extension type.,我们不承认或支持该文件扩展类型。,
No stores were reassigned.,没有商店被重新分配,
Assign theme to your live store-view:,Assign theme to your live store-view:,
Default title,默认标题,
The URL to assign stores is not defined.,指定商店的URL未定义,
Some problem with revert action,还原操作出错,
Error: unknown error.,错误： 未知错误,
Some problem with save action,保存操作出错,
Are you sure you want to delete the folder named,您确认要删除文件夹名为,
Method ,方式,
Translate,翻译,
Please enter a value less than or equal to %s.,请输入小于或等于%s的值,
Please enter a value greater than or equal to %s.,请输入大于或等于%s的值,
Maximum length of this field must be equal or less than %1 symbols.,这个字段的最大长度必须等于或小于% 1符号。,
Recent items,最近开启项目,
Show all...,显示全部...,
Please enter a date in the past.,请输入过去的一个日期,
Please enter a date between %min and %max.,请在%min 和%max 之间输入日期,
Please choose to register or to checkout as a guest.,请选择注册或者以访客身份结算.,
We are not able to ship to the selected shipping address. Please choose another address or edit the current address.,我们不能发货至已选择送货地址. 请选择另外的地址或者在现有地址上编辑,
Error happened while creating wishlist. Please try again later,创建收藏夹时出错， 请稍候再试。,
You must select items to move,您必须选择要移动的项目,
You must select items to copy,您必须选择要复制的项目,
You are about to delete your wish list. This action cannot be undone. Are you sure you want to continue?,您要删除你的收藏夹？ 这个动作不能撤消。你确定要继续吗？,
Please specify payment method.,请指定支付方式,
Use gift registry shipping address,使用自定义注册地址,
"You can change the number of gift registry items on the Gift Registry Info page or directly in your cart, but not while in checkout.",您可以在自定义注册信息页或者直接在您的收藏夹中更改自定义注册产品数，但不能再结账时操作。,
No confirmation,没有确认,
"Sorry, something went wrong.",对不起，出错了,
"Sorry, something went wrong. Please try again later.",对不起， 出错了， 请稍候再试,
unselect all,取消全选,
Please agree to all Terms and Conditions before placing the orders.,在提交订单之前请选择同意所有购买条款,
Please choose to register or to checkout as a guest,请选择注册或者以访客身份结算.,
Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.,"缺少可用的配送方式,暂时无法完成您的订单。请对您的配送地址做必要的更改",
Please specify shipping method.,请指定配送方法.,
Your order cannot be completed at this time as there is no payment methods available for it.,缺少可用的支付方式，暂时无法完成您的订单 ,
Ok,Ok,
We can't complete your order because you don't have a payment method available.,我们不能完成你的订单，因为你没有一个可用的付款方式.,
Translations,翻译,
Translation files.,译文,
