Remove,删除
Select a billing address from your address book or enter a new address.,从您的地址簿选择账单地址，或输入新地址。
Email Address,编辑电子邮件地址
Company,公司
VAT Number,增值税号码
Address,地址
Street Address,街道地址
Street Address %1,街道地址 %1
Telephone,电话
Fax,传真
Password,密码
Confirm Password,确认密码
Save in address book,保存到地址簿
Ship to this address,送货到这个地址
Ship to different address,送货到不同地址
Continue,继续
Order #,订单 #
Proceed to Checkout,进行结账
Login,登录
Already registered?,已注册？
Please log in below:,请在下面登录：
Forgot Your Password?,忘记密码？
Checkout as a Guest or Register,以来宾身份结账或注册
Checkout as a Guest,以访客身份结帐
Register to Create an Account,注册以创建帐户
Register and save time!,注册并节约时间！
Register with us for future convenience:,在这里注册以后可以更方便：
Fast and easy check out,方便快捷的结账
Easy access to your order history and status,轻松访问您的订单历史记录和状态
Checkout as Guest,作为来宾结账
Register,注册
No Payment Methods,没有付款方式
Your Checkout Progress,您的结帐流程
Billing Address,账单地址
Shipping Address,送货地址
Shipping method has not been selected yet,运送方式尚未被选择
Payment Method,支付方式
Place Order,下订单
Forgot an Item?,忘记某个项目？
Edit Your Cart,编辑您的购物车
Your credit card will be charged for,你的信用卡将被收取费用
Select a shipping address from your address book or enter a new address.,从您的地址簿选择发货地址，或输入新地址。
Use Billing Address,使用账单地址
"Sorry, no quotes are available for this order at this time.",抱歉，当前该订单中没有报价可用。
Thank you for your purchase!,感谢您的购买！
Your order # is: %1.,您的订单 # 是: %1.
You will receive an order confirmation email with details of your order and a link to track its progress.,您将会收到一份内含订单详细信息和可查询进展情况链接的确认邮件
"Click <a href=""%1"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.",点击 <a href=””%s”” onclick=””this.target=\’_blank\'””>这里打印</a> 您的订阅确认信息
Please specify a shipping method.,请指定一个装运方法。
Please choose to register or to checkout as a guest.,请选个注册或以访客方式结账
We are not able to ship to the selected shipping address. Please choose another address or edit the current address.,我们无法发货至已选收件地址. 请选择另外一个地址或者编辑当前地址。
Please specify payment method.,请指定支付方式。
Please agree to all Terms and Conditions before placing the orders.,请在下订单前同意所有的条款和条件。
We can't complete your order because you don't have a payment method available.,无法完成你的订单，因为你没有一个可用的付款方式。
Checkout Options,结帐选项
Enable Onepage Checkout,启用单页结帐
Allow Guest Checkout,允许以访客形式结账
Require Customer To Be Logged In To Checkout,要求客户登陆结算
Quote Lifetime (days),报价有效期 (天)
After Adding a Product Redirect to Shopping Cart,加入产品后转到购物车
My Cart Link,我的购物车
Display Cart Summary,购物车显示
Shopping Cart Sidebar,购物车侧栏
Display Shopping Cart Sidebar,”显示购物车侧栏
Maximum Display Recently Added Item(s),最近增加产品最大显示数
Payment Failed Emails,支付失败邮件
Payment Failed Email Sender,支付失败邮件发件人
Payment Failed Email Receiver,支付失败邮件收件人
Payment Failed Template,支付失败邮件模板
Send Payment Failed Email Copy To,发送支付失败邮件副本到
"Separate by "","".","以 "",""分隔"
Send Payment Failed Email Copy Method,支付失败邮件副本发送方式
Your order has been received.,我们已经收到您的订单。
Go to Checkout,去支付
View and edit cart,显示购物车
Grand Total,共计
Not yet calculated,暂未计算
Order Summary,订单汇总
Order Total,订单金额
You can create an account after checkout.,支付成功后您可以创建帐号
