Custom,自定义
Reset Filter,重设过滤器
Search,搜索
Any,任何
All Countries,所有国家
From,从
To,至
Date selector,日期选择器
[ deleted ],[ deleted ]
Select All,选择全部
 [deleted], [deleted]
We couldn't find any records.,找不到任何记录
Add New,新加
Export,导出
Please correct the column format and try again.,请更正该列格式，然后再试一次
Please select items.,请选择产品
Submit,提交
Please correct the tab configuration and try again.,请更正标签配置，并再次尝试
You have logged out.,您已经登出
Cache Management,缓存管理
You flushed the cache storage.,您已刷新缓存存储
The Magento cache storage has been flushed.,Magento 缓存存储已刷新
%1 cache type(s) enabled.,激活缓存类型%1 
An error occurred while enabling cache.,激活缓存时出错.
%1 cache type(s) disabled.,禁用缓存类型%1 
An error occurred while disabling cache.,禁用缓存时出错.
%1 cache type(s) refreshed.,刷新缓存类型%1 
An error occurred while refreshing cache.,刷新缓存类型时出错
Specified cache type(s) don't exist: ,指定缓存类型不存在: 
The JavaScript/CSS cache has been cleaned.,JavaScript/CSS 缓存被清理了。
An error occurred while clearing the JavaScript/CSS cache.,清理 JavaScript/CSS 缓存时出错
The image cache was cleaned.,图像缓存被清理
An error occurred while clearing the image cache.,清理图像缓存时出错
Dashboard,控制面板
invalid request,无效的请求
see error log for details,查看错误日志细节
Service unavailable: %1,服务不可用: %1
Error,错误
Access Denied,拒绝访问
You need more permissions to do this.,你需要更多的权限
No search modules were registered,没有未注册的搜索模板
Please make sure that all global admin search modules are installed and activated.,请确保已安装和激活所有的全局管理搜索模块
System,系统
The account has been saved.,账号已保存
An error occurred while saving account.,保存账号时出错
This section is not allowed.,该单元不允许
You saved the configuration.,您已保存设置
An error occurred while saving this configuration:,保存设置时出错:
Synchronizing %1 to %2,将 %1 与 %2 同步
Synchronizing...,同步...
The timeout limit for response from synchronize process was reached.,相应同步已超时
Store Design,商店设置
Edit Store Design Change,编辑商店界面设计
You saved the design change.,您已保存界面设计.
You deleted the design change.,您已删除界面设计
Cannot delete the design change.,不能删除界面设计
Manage Stores,管理商店
The website does not exist.,网站不存在
Before modifying the website code please make sure that it is not used in index.php.,在修改网站代码前，请确认没有在 index.php 中使用
The store does not exist,商店不存在
Store view doesn't exist,商店界面不存在
Before modifying the store view code please make sure that it is not used in index.php.,在修改商店界面代码前，请确认没有在 index.php 中使用
New ,新
The website has been saved.,网站已保存
The store has been saved.,商店已保存
The store view has been saved,商店界面已保存
An error occurred while saving. Please review the error log.,保存时出现错误. 请检查错误日志。
"Unable to proceed. Please, try again.",无法继续。请再试一次。
This website cannot be deleted.,无法删除该网站。
This store cannot be deleted.,无法删除该商店
This store view cannot be deleted.,商店界面无法删除
"Unable to proceed. Please, try again",无法继续。请再试一次。
The website has been deleted.,网站被删除
"Unable to delete website. Please, try again later.",无法删除网站， 请稍后再试
The store has been deleted.,商店被删除
"Unable to delete store. Please, try again later.",无法删除商店， 请稍后再试
The store view has been deleted.,商店界面被删除
"Unable to delete store view. Please, try again later.",无法删除商店界面， 请稍后再试
The database was backed up.,数据库备份
We couldn't create a backup right now. Please try again later.,现在我们不能创建备份。请稍后再试。
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.",删除 %1$s 不会删除与 %1$s 相关的信息（例如类别，商品等），但是 %1$s 被删除后无法恢复。建议删除 %1$s 之前先生成一个数据库备份
You saved the custom variable.,您已保存自定义变量
You deleted the custom variable.,您已删除自定义变量
URL Rewrites,URL重写
[New/Edit] URL Rewrite,[New/Edit] URL重写
The URL Rewrite has been saved.,URL重写已保存
An error occurred while saving URL Rewrite.,保存URL 重写是出错
Chosen product does not associated with the chosen store or category.,所选的产品跟已选商店或目录不关联
Chosen category does not associated with the chosen store.,所选的目录跟已选商店不关联
Chosen cms page does not associated with the chosen store.,所选的CMS页跟已选商店不关联
The URL Rewrite has been deleted.,URL 重写已删除
An error occurred while deleting URL Rewrite.,删除URL重写时出错。
Last 24 Hours,最后24小时
Last 7 Days,最后7天
Current Month,当前月
YTD,YTD
2YTD,2YTD
You did not sign in correctly or your account is temporarily disabled.,登录不正确或者您的账号已暂停.
Authentication error occurred.,验证出错
Please specify the admin custom URL.,请指定管理自定义网址
Invalid %1. %2,无效的 %1. %2
Value must be a URL or one of placeholders: %1,值必须是一个URL或一个占位符：% 1
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".",指定一个URL或路径，从占位符（S）：% 1 开始，并用“/”结束。
%1 An empty value is allowed as well.,%1 也允许空值
Specify a fully qualified URL.,指定一个完全合格的URL
"Selected allowed currency ""%1"" is not available in installed currencies.","所选的允许货币 ""%1"" 在安装的货币中不可用"
"Default display currency ""%1"" is not available in allowed currencies.","默认显示货币 ""%1"" 在安装的货币中不可用"
"Sorry, we haven't installed the base currency you selected.",对不起，我们没有安装您选择的基础货币
We can't save the Cron expression.,我们不能保存货币表达式
"Sorry, we haven't installed the default display currency you selected.",对不起，我们没有安装您选择的默认显示货币
"Sorry, the default display currency you selected in not available in allowed currencies.","对不起, 您选择的默认显示货币在安装的货币中不可用"
"Please correct the email address: ""%1"".","请更正邮箱地址: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.",发件人名称“% 1”无效。只能使用可见字符和空格
Maximum sender name length is 255. Please correct your settings.,发件人名称最长为 255. 请纠正您的设置
The file you're uploading exceeds the server size limit of %1 kilobytes.,您上传的文件已经超过服务器规定的 %1 KB 大小
The base directory to upload file is not specified.,未指定上传文件的基准目录
The specified image adapter cannot be used because of: ,不能使用指定的图像适配器是因为： 
Default scope,默认范围
Base currency,基础货币
Display default currency,显示默认货币
website(%1) scope,网站(%1) 范围
store(%1) scope,店铺(%1) 范围
"Currency ""%1"" is used as %2 in %3.", 在 %3 中 货币 %1 被用做 %2
Please correct the timezone.,请纠正时区
IP Address,IP 地址
Cookie (unsafe),Cookie (不安全)
Always (during development),总是 (在发展过程中)
Only Once (version upgrade),仅一次 (版本升级)
Never (production),从未（生产）
Bcc,Bcc
Separate Email,单独邮件
%1 (Default),%1 (缺省值)
title,标题
Optional,可选
Required,必填
Website,网站
File System,文件系统
Database,数据库
HTTP (unsecure),HTTP (未加密)
HTTPS (SSL),HTTPS (SSL)
Yes (302 Found),是 (302 创建)
Yes (301 Moved Permanently),Yes (301 永久移动)
Specified,指定
Order,订单
Order #%1,订单 #%1
Order #%1 (%2),订单 #%1 (%2)
Access denied,拒绝访问
Please try to log out and sign in again.,请尝试先登出并再次登录
"If you continue to receive this message, please contact the store owner.",如果您继续收到此邮件，请联系店主。
Access denied.,拒绝访问
Log into Shop123 Admin Page,登录到Shop123管理页面
Shop123 Admin Panel,Shop123管理面板
Welcome,欢迎
User Name:,用户名:
user name,用户名
Password:,密码:
password,密码
Log in,登录
Please wait...,请稍候…
Select Range:,选择范围:
No Data Found,未发现数据
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.",图表被禁用。激活图表，单击<a href=""%1"">这里</a>。
Last 5 Orders,最近5个订单
Last 5 Search Terms,最近5个搜索词
Top 5 Search Terms,最热门的5个搜索词 5
There are no search keywords.,没有搜索关键词
View Statistics For:,查看统计:
All Websites,所有网站
Shipping Amount,发货总额
Tax Amount,税额
Browse Files...,浏览文件...
"Magento is an eBay Inc. company. Copyright&copy; %1 Magento, Inc. All rights reserved.",Magento是易趣网公司。版权所有 % 1 Magento，公司保留所有权利
Magento ver. %1,Magento ver. %1
Help Us Keep Magento Healthy - Report All Bugs,帮助SHOP123更加完善 -报告所有错误
Help Us Keep Magento Healthy,帮助SHOP123更加完善
Report All Bugs,报告所有错误
Account Setting,账户设置
Customer View,客户界面
Sign Out,退出
About the calendar,关于日历
Go Today,到今天
Previous,上一个
Next,下一个
WK,周
Time,时间
Hour,小时
Minute,分类
Please select an option.,请选择一个选项。
This is a required field.,此栏不能为空
Please enter a valid number in this field.,请在该字段中输入有效数字。
"Please enter only numbers (1-9) into this field. Do not use spaces, commas, or any other characters.",该字段只能输入数字 （1-9）. 不要使用空格，逗号，或任何其他字符。
Please enter only letters (a-z) into this field.,该字段中只能输入字母 （a-z）
Please enter only numbers (0-9) or letters (a-z) into this field.,该字段中输入数字 （1-9）或 字母 （a-z）
"Please enter only numbers or letters into this field. Do not use spaces, commas, or any other characters.",该字段中输入数字或 字母，不要使用空格，逗号，或任何其他字符。
"Please enter only letters (a-z), numbers (0-9), spaces and the ""#"" character into this field.","该字段中输入数字 （1-9），字母 （a-z）,空格和字符 ""#""。"
"Please enter a valid phone number (for example, (123) 456-7890 or 123-456-7890).",请输入一个有效的电话号码（例如，（123）456-7890或123-456-7890）。
Please enter a valid date.,请输入有效的日期。
Please enter a valid email address(for example johndoe@domain.com.).,请输入有效的电子邮件地址(例如 johndoe@domain.com.).
Please enter 6 or more characters.,请输入6个或以上字符
Please make sure your passwords match.,请确保您的密码匹配。
"Please enter a valid URL (for example, the URL must begin with ""http://"").",请输入一个有效的URL（例如，URL必须始于“HTTP：/ /”）。
"Please enter a valid URL (for examples, http://www.example.com or www.example.com).","请输入一个有效的URL (例如, http://www.example.com 或 www.example.com)."
"Please enter a valid social security number (for example, 123-45-6789).","请输入一个有效的社交安全号 (例如, 123-45-6789)."
"Please enter a valid zip code (for example, 90602 or 90602-1234).","请输入一个有效的邮政编码 (比如, 90602 或者 90602-1234)."
Please enter a valid zip code.,请输入一个有效的邮政编码
"Please use this date format: dd/mm/yyyy. For example, enter ""17/03/2006"" to represent March 17, 2006.",请使用此日期格式dd/mm/yyyy。例如，输入“17 / 03 / 2006”代表2006年3月17日。
"Please enter a valid dollar amount (for example, $100.00).",请输入有效的美元金额 (比如 $100.00).
Please select one of these options.,请选择其中一个选项。
Please select State/Province.,请选择国家/省。
Please enter a valid password.,请输入有效密码。
Please enter a number greater than 0 in this field.,请在该字段填入大于0的数字
Please enter a valid credit card number.,请输入一个有效的信用卡号码。
"Please wait, loading...",请稍后，加载中…
JavaScript may be disabled in your browser.,您的浏览器可能禁用了JavaScript
To use this website you must first enable JavaScript in your browser.,使用该网站前，请先在您的浏览器中激活 JavaScript
"This is only a demo store. You can browse and place orders, but nothing will be processed.",这只是一个演示商店。你可以浏览和下订单，但不会有任何处理。
Scope:,范围:
Stores Configuration,商店设置
Please confirm scope switching. All data that hasn't been saved will be lost.,请确认范围切换。尚未保存的所有数据将丢失。
Additional Cache Management,附加缓存管理
Flush Catalog Images Cache,刷新目录图片缓存
Pregenerated product images files,预先生成的产品图片文件
Flush JavaScript/CSS Cache,刷新 JavaScript/CSS 缓存
Themes JavaScript and CSS files combined to one file.,JavaScript和CSS文件的网站模板结合到一个文件。
Catalog,目录重写
JavaScript/CSS,JavaScript/CSS
JavaScript/CSS Cache,JavaScript/CSS 缓存
Add after,添加后
Current Configuration Scope:,当前配置范围：
Personal Information,个人信息
No records found.,未发现记录。
Select Category,选择类别
Images,图片
Big Image,大图
Thumbnail,缩略图
Additional Settings,附加设置
Total %1 records found,总共 %1 记录被找到
View,查看
per page,每页
Page,页面
Previous page,上一页
of %1, %1的
Next page,下一页
Export to:,导出到:
Actions,操作
Mass Actions,大量操作
Unselect All,全部取消
Select Visible,选择可见
Unselect Visible,取消可见
items selected,选定项
The information in this tab has been changed.,此选项卡中的信息已更改。
This tab contains invalid data. Please solve the problem before saving.,此选项卡包含无效数据. 保存前请解决此问题
Loading...,加载 ...
Country,国家
City,城市
VAT Number,增值税号码
Street Address,街道地址
Design,设计
Media Storage,多媒体储存
Admin,管理员
Advanced,高级
Transactional Emails,交易邮件
Store Name,店铺名称
Store Phone Number,店铺联系电话
Region/State,地区/国家
Sender Name,发件人名称
Sender Email,发件人邮箱
Locale,语言
Base URL,基准网址
Enable Charts,启用Charts
Secure Base URL,安全基准网址
Host,主机
File extension not known or unsupported type.,不知道或不支持的文件扩展名
Debug,调试
"System(config.xml, local.xml) and modules configuration files(config.xml, menu.xml).","系统(config.xml, local.xml) 和模块配置文件(config.xml, menu.xml)."
Services,服务
Disable Modules Output,禁用模块输出
Store Email Addresses,店铺邮箱地址
Custom Email 1,自定义邮件一
Custom Email 2,自定义邮件二
General Contact,联系人
Sales Representative,销售代表
Customer Support,客户服务
User-Agent Exceptions,用户-代理除外
"
                        Search strings are either normal strings or regular exceptions (PCRE). They are matched in the same order as entered. Examples:<br /><span style=""font-family:monospace"">Firefox<br />/^mozilla/i</span>
                    ","
                        搜索字符串不是常规字符串就是常规异常 (PCRE). 在同个订单输入他们是匹配的. 例如:<br /><span style=""font-family:monospace"">Firefox<br />/^mozilla/i</span>
                    "
Find a string in client user-agent header and switch to specific design theme for that browser.,在用户代理标头中查找字符串并切换到该浏览器的特定设计网站模板
Pagination,分页
Pagination Frame,分页框架
How many links to display at once.,一次展示多少个链接
Pagination Frame Skip,跳过分页框架
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","如果当前帧的位置并不包括至上页, 将提供链接到当前位置正/负值."
Anchor Text for Previous,锚文的上一步
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.",代文字在分页菜单上的联系。如果为空，将使用默认的箭头形象
Anchor Text for Next,锚文的下一步
"Alternative text for next link in pagination menu. If empty, default arrow image will used.",代文字在分页菜单下一个环节。如果为空，将使用默认的箭头形象
Logo Image,Logo 图片
Logo Image Alt,Logo 替代文字
Developer,开发者选项
Developer Client Restrictions,开发者客户端限制
Allowed IPs (comma separated),允许的IP地址（多个记录用逗号分开）
Leave empty for access from any location.,放空则允许从任何位置访问.
Template Path Hints,模板路径提示
Add Block Names to Hints,在提示信息中增加区块名称
Template Settings,模板设置
Allow Symlinks,允许符号链接
Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.,警告!在生产环境中不推荐此功能，因为它存在潜在的安全风险.
Translate Inline,内联翻译
Enabled for Frontend,在前台启用
Enabled for Admin,在管理界面中启用
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.",翻译，块和其它输出缓存都应该被禁用，前台和后台管理内嵌翻译。
Log Settings,日志选项
System Log File Name,系统日志文件名
Logging from \Psr\Log\LoggerInterface. File is located in {{base_dir}}/var/log,来自  \Psr\Log\LoggerInterface. 文件位于 {{base_dir}}/var/log
Exceptions Log File Name,异常日志文件名
JavaScript Settings,JavaScript 设置
Merge JavaScript Files,合并JavaScript文件
Minify JavaScript Files,缩小JavaScript文件
CSS Settings,CSS 设置
Merge CSS Files,合并CSS文件
Image Processing Settings,图像处理设置
Image Adapter,图像适配器
Static Files Settings,静态文件设置
Sign Static Files,签署静态文件
Country Options,国家选项
Allow Countries,允许国家
Default Country,默认国家
European Union Countries,欧盟国家
Locale Options,本地化选项
Timezone,时区
First Day of Week,周起始日
Weekend Days,周末
ZIP/Postal Code,邮编
Street Address Line 2,街道地址行二
Single-Store Mode,单店铺模式
Enable Single-Store Mode,启动单店铺模式
This setting will not be taken into account if system has more than one store view.,如果系统有多个店铺界面，该设置将不会被考虑。
Mail Sending Settings,邮件发送设置
Disable Email Communications,禁用电子邮件
Port (25),端口 (25)
Set Return-Path,设置返回路径
Return-Path Email,发回路径邮件
Storage Configuration for Media,媒体存储配置
Select Media Database,选择媒体资料库
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.",选择新的媒体存储位置后， 按“同步”按钮将所有媒体传送到该位置.直到同步过程完成媒体将不会在新的位置。
Environment Update Time,环境更新时间
Admin User Emails,管理用户邮件
Forgot Password Email Template,忘记密码的电子邮件模板
Forgot and Reset Email Sender,忘记并重置电子邮件发件人
Recovery Link Expiration Period (days),恢复期（天）
Please enter a number 1 or greater in this field.,请在该字段中输入大于或等于1的数字
Startup Page,起始页
Admin Base URL,管理基准 URL
Use Custom Admin URL,使用自定义管理URL
Custom Admin URL,自定义管理URL
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","确保URL结尾 ‘/’ (slash),例如http://yourdomain/magento/"
Use Custom Admin Path,使用自定义管理路径
Custom Admin Path,自定义管理路径
You will have to log in after you save your custom admin path.,在您保存您的自定义管理路径后需要登录
Security,安全
Add Secret Key to URLs,增加密钥到URL地址
Login is Case Sensitive,登陆区分大小写
Admin Session Lifetime (seconds),管理会话有效期 (秒)
Values less than 60 are ignored.,值低于60将被忽略
Web,网站
Url Options,网址选项
Add Store Code to Urls,网址中加入商店码
"
                        <strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).
                    ","
                        <strong style=""color:red"">Warning!</strong>在某些情况下，当网址中使用商店代码时，如果没有网点代码的网址在第三方服务中指定，系统将不能正常工作 (e.g. PayPal etc.).
                    "
Auto-redirect to Base URL,自动重定向到相应的网址
Search Engine Optimization,搜索引擎优化
Use Web Server Rewrites,使用服务器网址重写
Base URLs,基准网址
Specify URL or {{base_url}} placeholder.,指定网址或 {{base_url}} 占位符
Base Link URL,基准链接网址
Base URL for Static View Files,静态视图文件的基准网址
May be empty or start with {{unsecure_base_url}} placeholder.,可能为空，或者以 {{unsecure_base_url}}占位符开始
Base URL for User Media Files,用户媒体文件的基准网址
Base URLs (Secure),基准网址（安全）
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.","指定网址或{{base_url}}, 或{{unsecure_base_url}} 占位符"
Secure Base Link URL,安全基准链接网址
Secure Base URL for Static View Files,静态视图文件的安全基准网址
"May be empty or start with {{secure_base_url}}, or {{unsecure_base_url}} placeholder.","可能为空，或者以 {{secure_base_url}}, 或 {{unsecure_base_url}} 占位符开始"
Secure Base URL for User Media Files,用户媒体文件的安全基准网址
Use Secure URLs in Frontend,前台使用安全链接
Use Secure URLs in Admin,管理界面使用安全链接
Offloader header,Offloader header
Default Pages,默认页
Default Web URL,默认网址
Default No-route URL,默认无路径网址
Default Cookie Settings,默认 Cookie设置
Cookie Lifetime,Cookie 时效
Cookie Path,Cookie 路径
Cookie Domain,Cookie 域
Use HTTP Only,只能使用HTTP
Cookie Restriction Mode,Cookie限制模式
Session Validation Settings,Session 检验设置
Validate REMOTE_ADDR,检查 REMOTE_ADDR
Validate HTTP_VIA,检验 HTTP_VIA
Validate HTTP_X_FORWARDED_FOR,检验 HTTP_X_FORWARDED_FOR
Validate HTTP_USER_AGENT,检验 HTTP_USER_AGENT
Use SID on Frontend,前台使用SID
Allows customers to stay logged in when switching between different stores.,允许客户在不同的商店之间切换时保持登录状态
Cache Type,缓存类型
Tags,标签
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 错误</h1><p>未找到页面.</p>"
Variable ID,变量ID
Options,选项
Shop123 Admin,Shop123管理
Community Edition,社区版
Store View:,店铺视图
Average Order,平均订单价值
Last Orders,最新订单
Last Search Terms,最新的搜索关键词
Top Search Terms,热门搜索关键词
Report Bugs,反馈问题
User Content,用户
Operations,订单操作
Elements,元素
Other Settings,其它设置
Data Transfer,数据迁移
Web Setup Wizard,Web安装向导
All Stores,所有商店
Reload Data,刷新数据
You saved the store view.,店铺语言视图已生成.
Welcome, please sign in,欢迎登录后台
Username,用户名
user name,用户名
Password,密码
password,密码
Sign in,登录
Store Design Schedule,店铺模板更新计划
Order Quantity,订单数量
Shipping charges,运费
Flush Static Files Cache,刷新静态文件缓存
Show / Hide Editor,编辑模式切换
Preprocessed view files and static files,预加载显示文件和静态文件
Marketing,流量
SEO Base Config,搜索引擎优化(SEO)设置
SNS Base Config,社交媒体(SNS)营销设置
EDM Base Config,电子邮件营销(EDM)设置
